,video_id,comment,comment_cleaned
423,E0uLbeQlwjw,Britain is the type of guy that will accidentally ruin a bookshelf in the library and just runs away,britain is the type of guy that will accidentally ruin a bookshelf in the library and just runs away
424,E0uLbeQlwjw,"If you're looking at  a global conflict and wondering how it began, Britain is usually a good place to start from","if you're looking at  a global conflict and wondering how it began, britain is usually a good place to start from"
425,E0uLbeQlwjw,Applauding all those here in 2023 trying to learn more about this conflict 👏🏽,applauding all those here in 2023 trying to learn more about this conflict 👏🏽
426,E0uLbeQlwjw,As history has always let us know that you should never trust a British guy with a map,as history has always let us know that you should never trust a british guy with a map
427,E0uLbeQlwjw,"What you failed to mention is that the settlers didn’t move in without permission. They moved in with government support and encouragement, kicked and demolished Palestinian homes and murdered many with full military support and then and only them they started to “settle” as you nicely and smoothly made it sound.","what you failed to mention is that the settlers didn’t move in without permission. they moved in with government support and encouragement, kicked and demolished palestinian homes and murdered many with full military support and then and only them they started to “settle” as you nicely and smoothly made it sound."
428,E0uLbeQlwjw,"I like that you stated the arabs declared war on the jews but then when the US backed jews declared war on the arabs it's ""Israel then fought another war""

Real top notch unbiased journalism there pal.","i like that you stated the arabs declared war on the jews but then when the us backed jews declared war on the arabs it's ""israel then fought another war""

real top notch unbiased journalism there pal."
429,E0uLbeQlwjw,"British Partitioning countries based on ethnic religious lines creates conflict 

India- pakistan partition
Israel-palestinian partition
Maybe other former colonies with ethnic conflict - sri lanka
And Many others where ethnic divisions have created disharmony","british partitioning countries based on ethnic religious lines creates conflict 

india- pakistan partition
israel-palestinian partition
maybe other former colonies with ethnic conflict - sri lanka
and many others where ethnic divisions have created disharmoni"
430,E0uLbeQlwjw,"Honestly I knew this conflict was complicated, I didnt know how complicated  it really was until this video","honestly i knew this conflict was complicated, i didnt know how complicated  it really was until this video"
431,O454c_qs5kI,"If you take the time to learn the history behind all this, in my opinion, the reason why there’s conflict between Israel & Palestine , it’s because of the British back during pre world war 1 to world war 2. The British made a lot of bad deals between the 2-nations which led to a big mess where it is today. Now England is just hiding in the shadow hoping no one brings up their old history presence in the Middle East.","if you take the time to learn the history behind all this, in my opinion, the reason why there’s conflict between israel & palestine , it’s because of the british back during pre world war 1 to world war 2. the british made a lot of bad deals between the 2-nations which led to a big mess where it is today. now england is just hiding in the shadow hoping no one brings up their old history presence in the middle east."
432,O454c_qs5kI,"I never thought Fox News would be the best source of information on a topic, but here I am","i never thought fox news would be the best source of information on a topic, but here i am"
433,O454c_qs5kI,"This is OK for a quick crash course, but it kind of conveniently left out a few things. Nothing on settlers? Nothing on the blockade of Gaza? It makes it seem like a two-sided territorial dispute without much characterization of what each territory is like other than ""densely populated.""","this is ok for a quick crash course, but it kind of conveniently left out a few things. nothing on settlers? nothing on the blockade of gaza? it makes it seem like a two-sided territorial dispute without much characterization of what each territory is like other than ""densely populated."""
434,O454c_qs5kI,Why are all these companies telling me to stand with Israel? No,why are all these companies telling me to stand with israel? no
435,O454c_qs5kI,I am not a Fox fan but I see somewhat balanced news and comments. Great job gentleman,i am not a fox fan but i see somewhat balanced news and comments. great job gentleman
436,O454c_qs5kI,So you focused on “Jewish being persecuted and fleeing Europe” but not “Palestinian forced out of their home en masse.” Let’s be objective here shall we?,so you focused on “jewish being persecuted and fleeing europe” but not “palestinian forced out of their home en masse.” let’s be objective here shall we?
437,O454c_qs5kI,"A nice attempt to explain what's going on ??
But some of the real important questions need to be answered?
Why did England want to create a State of Israel ??","a nice attempt to explain what's going on ??
but some of the real important questions need to be answered?
why did england want to create a state of israel ??"
438,O454c_qs5kI,"Good presentation and generally historically correct. What is missing in the conversation is the current apartheid mindset. For some 20 years Israel has segregated the Palestinians in two reservations (Gaza and the West Bank). In an effort to quell hatred of Israel and attacks - the Palestinians in these reservations face embargos and live in hopeless poverty.  Uprisings (intifada) happen regularly due the poor conditions in these reservations. These current acts of inexcusable terrorism by Hamas will bring even more oppression and misery to the Palestinians. That said, there will be no peace until both sides are willing to talk and compromise. As long as both sides see war as the only solution there will be only war.","good presentation and generally historically correct. what is missing in the conversation is the current apartheid mindset. for some 20 years israel has segregated the palestinians in two reservations (gaza and the west bank). in an effort to quell hatred of israel and attacks - the palestinians in these reservations face embargos and live in hopeless poverty.  uprisings (intifada) happen regularly due the poor conditions in these reservations. these current acts of inexcusable terrorism by hamas will bring even more oppression and misery to the palestinians. that said, there will be no peace until both sides are willing to talk and compromise. as long as both sides see war as the only solution there will be only war."
439,O454c_qs5kI,This might be the most comprehensive and intelligent explanation of anything I’ve ever seen on Fox News.,this might be the most comprehensive and intelligent explanation of anything i’ve ever seen on fox news.
